,Jan 1974,Feb 1974,Mar 1974,Apr 1974,May 1974,Jun 1974,Jul 1974,Aug 1974,Sep 1974,Oct 1974,Nov 1974,Dec 1974
Hydroelectric Power,301.368,277.084,287.51,290.666,291.698,277.778,274.105,250.667,222.885,208.685,220.347,240.585
Geothermal,2.154,1.901,2.165,2.039,2.04,1.975,2.191,2.163,1.999,2.03,2.414,2.54
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.111,0.039,0.036,0.108,0.116,0.1,0.005,0.031,0.121,0.018,0.019,0.011
Waste,0.152,0.142,0.148,0.142,0.129,0.179,0.208,0.189,0.183,0.156,0.155,0.119
Total,0.263,0.181,0.184,0.25,0.245,0.279,0.213,0.22,0.305,0.174,0.174,0.13
Total,303.785,279.165,289.858,292.955,293.983,280.032,276.508,253.05,225.189,210.889,222.935,243.256
