,Jan 1973,Feb 1973,Mar 1973,Apr 1973,May 1973,Jun 1973,Jul 1973,Aug 1973,Sep 1973,Oct 1973,Nov 1973,Dec 1973
Hydroelectric Power,269.536,239.271,265.57,250.09,257.577,246.76,232.91,219.412,177.407,189.189,207.617,271.335
Geothermal,1.491,1.363,1.412,1.649,1.537,1.763,1.869,1.762,1.492,1.76,1.889,2.435
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.054,0.157,0.186,0.066,0.048,0.039,0.04,0.157,0.207,0.193,0.095,0.113
Waste,0.157,0.144,0.176,0.174,0.21,0.176,0.17,0.184,0.178,0.2,0.151,0.135
Total,0.211,0.301,0.362,0.24,0.258,0.214,0.21,0.341,0.385,0.393,0.246,0.248
Total,271.238,240.935,267.345,251.979,259.372,248.737,234.989,221.516,179.284,191.343,209.752,274.019
