,Jan 1986,Feb 1986,Mar 1986,Apr 1986,May 1986,Jun 1986,Jul 1986,Aug 1986,Sep 1986,Oct 1986,Nov 1986,Dec 1986
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,78.137,70.575,78.137,75.616,78.137,75.616,78.137,78.137,75.616,78.137,75.616,78.137
Total,78.137,70.575,78.137,75.616,78.137,75.616,78.137,78.137,75.616,78.137,75.616,78.137
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,2.293,2.071,2.293,2.219,2.293,2.219,2.293,2.293,2.219,2.293,2.219,2.293
Waste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,0.039,0.036,0.039,0.038,0.039,0.038,0.039,0.039,0.038,0.039,0.038,0.039
Total,2.333,2.107,2.333,2.257,2.333,2.257,2.333,2.333,2.257,2.333,2.257,2.333
Total,2.333,2.107,2.333,2.257,2.333,2.257,2.333,2.333,2.257,2.333,2.257,2.333
