,Jan 1976,Feb 1976,Mar 1976,Apr 1976,May 1976,Jun 1976,Jul 1976,Aug 1976,Sep 1976,Oct 1976,Nov 1976,Dec 1976
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,40.794,38.162,40.794,39.478,40.794,39.478,40.794,40.794,39.478,40.794,39.478,40.794
Total,40.794,38.162,40.794,39.478,40.794,39.478,40.794,40.794,39.478,40.794,39.478,40.794
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.771,0.721,0.771,0.746,0.771,0.746,0.771,0.771,0.746,0.771,0.746,0.771
Waste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.771,0.721,0.771,0.746,0.771,0.746,0.771,0.771,0.746,0.771,0.746,0.771
Total,0.771,0.721,0.771,0.746,0.771,0.746,0.771,0.771,0.746,0.771,0.746,0.771
