,Jan 2019
Residential Sector,0.0
Geothermal,3.363
Solar,13.921
Biomass,0.0
Wood,44.995
Total,62.279
Commercial Sector,0.0
Hydroelectric Power,0.0
Geothermal,2.061
Solar,6.244
Wind,0.169
Biomass,0.0
Wood,7.284
Waste,3.882
Fuel Ethanol,1.96
Total,13.125
Total,21.783
