,Jan 1988,Feb 1988,Mar 1988,Apr 1988,May 1988,Jun 1988,Jul 1988,Aug 1988,Sep 1988,Oct 1988,Nov 1988,Dec 1988
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,77.077,72.104,77.077,74.59,77.077,74.59,77.077,77.077,74.59,77.077,74.59,77.077
Total,77.077,72.104,77.077,74.59,77.077,74.59,77.077,77.077,74.59,77.077,74.59,77.077
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,2.71,2.536,2.71,2.623,2.71,2.623,2.71,2.71,2.623,2.71,2.623,2.71
Waste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,0.045,0.043,0.045,0.044,0.045,0.044,0.045,0.045,0.044,0.045,0.044,0.045
Total,2.756,2.578,2.756,2.667,2.756,2.667,2.756,2.756,2.667,2.756,2.667,2.756
Total,2.756,2.578,2.756,2.667,2.756,2.667,2.756,2.756,2.667,2.756,2.667,2.756
