,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,1.554,1.404,1.554,1.504,1.554,1.504,1.554,1.554,1.504,1.554,1.504,1.554
Solar,2.844,3.066,4.224,4.656,5.14,5.186,5.444,5.388,4.914,4.479,3.674,3.487
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,32.274,29.151,32.274,31.233,32.274,31.233,32.274,32.274,31.233,32.274,31.233,32.274
Total,36.672,33.62,38.053,37.393,38.968,37.923,39.272,39.216,37.651,38.307,36.411,37.315
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.128,0.111,0.12,0.092,0.091,0.095,0.033,0.002,0.027,0.03,0.101,0.098
Geothermal,1.189,1.074,1.189,1.151,1.189,1.151,1.189,1.189,1.151,1.189,1.151,1.189
Solar,0.143,0.154,0.212,0.234,0.258,0.26,0.273,0.27,0.247,0.225,0.184,0.175
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,5.532,4.998,5.531,5.346,5.521,5.345,5.527,5.536,5.352,5.53,5.353,5.534
Waste,3.172,2.923,2.682,2.936,3.4,3.05,3.041,3.047,2.889,2.984,3.037,3.149
Fuel Ethanol,0.082,0.076,0.085,0.088,0.105,0.117,0.109,0.114,0.113,0.12,0.118,0.124
Total,8.786,7.996,8.298,8.37,9.026,8.512,8.677,8.697,8.353,8.635,8.509,8.807
Total,10.245,9.335,9.819,9.846,10.564,10.017,10.173,10.159,9.777,10.079,9.944,10.269
