,Jan 1991,Feb 1991,Mar 1991,Apr 1991,May 1991,Jun 1991,Jul 1991,Aug 1991,Sep 1991,Oct 1991,Nov 1991,Dec 1991
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.501,0.453,0.501,0.485,0.501,0.485,0.501,0.501,0.485,0.501,0.485,0.501
Solar,3.058,3.296,4.542,5.006,5.526,5.576,5.853,5.793,5.283,4.815,3.95,3.749
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,51.808,46.795,51.808,50.137,51.808,50.137,51.808,51.808,50.137,51.808,50.137,51.808
Total,55.367,50.543,56.851,55.628,57.835,56.198,58.163,58.102,55.905,57.125,54.572,56.059
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.127,0.109,0.128,0.128,0.141,0.128,0.121,0.108,0.092,0.088,0.092,0.109
Geothermal,0.255,0.23,0.255,0.247,0.255,0.247,0.255,0.255,0.247,0.255,0.247,0.255
Solar,0.011,0.012,0.017,0.018,0.02,0.02,0.021,0.021,0.019,0.018,0.014,0.014
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,5.87,5.236,5.775,5.558,5.759,5.591,5.77,5.836,5.691,5.84,5.646,5.868
Waste,2.208,1.977,2.28,2.308,2.436,2.288,2.125,2.316,2.198,1.979,2.248,2.122
Fuel Ethanol,0.038,0.034,0.038,0.036,0.038,0.036,0.038,0.038,0.036,0.038,0.036,0.038
Total,8.116,7.247,8.093,7.901,8.232,7.915,7.933,8.189,7.925,7.857,7.93,8.027
Total,8.509,7.598,8.492,8.294,8.648,8.309,8.33,8.573,8.283,8.217,8.283,8.404
