,Jan 1989,Feb 1989,Mar 1989,Apr 1989,May 1989,Jun 1989,Jul 1989,Aug 1989,Sep 1989,Oct 1989,Nov 1989,Dec 1989
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.425,0.384,0.425,0.411,0.425,0.411,0.425,0.425,0.411,0.425,0.411,0.425
Solar,2.798,3.016,4.156,4.581,5.057,5.102,5.356,5.301,4.835,4.406,3.614,3.431
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,78.137,70.575,78.137,75.616,78.137,75.616,78.137,78.137,75.616,78.137,75.616,78.137
Total,81.36,73.975,82.718,80.608,83.618,81.13,83.918,83.862,80.862,82.968,79.642,81.992
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.054,0.048,0.059,0.062,0.073,0.067,0.059,0.052,0.049,0.052,0.055,0.056
Geothermal,0.212,0.192,0.212,0.205,0.212,0.205,0.212,0.212,0.205,0.212,0.205,0.212
Solar,0.009,0.009,0.013,0.014,0.016,0.016,0.017,0.017,0.015,0.014,0.011,0.011
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,6.503,5.878,6.513,6.283,6.445,6.264,6.477,6.508,6.287,6.502,6.308,6.518
Waste,1.245,1.204,0.815,1.134,1.842,1.875,2.238,2.119,2.38,2.478,2.482,2.184
Fuel Ethanol,0.043,0.039,0.043,0.041,0.043,0.041,0.043,0.043,0.041,0.043,0.041,0.043
Total,7.791,7.121,7.371,7.458,8.33,8.181,8.757,8.67,8.708,9.022,8.831,8.745
Total,8.066,7.37,7.655,7.741,8.631,8.469,9.045,8.952,8.978,9.3,9.103,9.024
