,Jan 1993,Feb 1993,Mar 1993,Apr 1993,May 1993,Jun 1993,Jul 1993,Aug 1993,Sep 1993,Oct 1993,Nov 1993,Dec 1993
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.578,0.522,0.578,0.559,0.578,0.559,0.578,0.578,0.559,0.578,0.559,0.578
Solar,3.257,3.511,4.837,5.332,5.886,5.939,6.235,6.17,5.627,5.129,4.207,3.993
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,46.712,42.192,46.712,45.205,46.712,45.205,46.712,46.712,45.205,46.712,45.205,46.712
Total,50.547,46.224,52.127,51.096,53.176,51.703,53.524,53.46,51.392,52.419,49.971,51.283
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.095,0.077,0.09,0.098,0.113,0.102,0.091,0.077,0.067,0.067,0.07,0.082
Geothermal,0.289,0.261,0.289,0.279,0.289,0.279,0.289,0.289,0.279,0.289,0.279,0.289
Solar,0.013,0.014,0.02,0.022,0.024,0.024,0.025,0.025,0.023,0.021,0.017,0.016
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,6.45,5.824,6.435,6.2,6.349,6.153,6.374,6.453,6.23,6.436,6.247,6.444
Waste,3.412,2.64,3.341,2.434,2.816,2.859,2.743,2.28,2.789,2.757,2.573,2.75
Fuel Ethanol,0.015,0.015,0.018,0.015,0.015,0.015,0.016,0.012,0.016,0.017,0.021,0.02
Total,9.877,8.479,9.794,8.65,9.179,9.027,9.133,8.746,9.035,9.21,8.841,9.214
Total,10.275,8.831,10.192,9.049,9.605,9.433,9.538,9.137,9.404,9.586,9.207,9.602
