,Jan 2001,Feb 2001,Mar 2001,Apr 2001,May 2001,Jun 2001,Jul 2001,Aug 2001,Sep 2001,Oct 2001,Nov 2001,Dec 2001
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.803,0.725,0.803,0.777,0.803,0.777,0.803,0.803,0.777,0.803,0.777,0.803
Solar,2.989,3.222,4.439,4.893,5.401,5.45,5.721,5.662,5.164,4.706,3.861,3.665
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,31.425,28.384,31.425,30.411,31.425,30.411,31.425,31.425,30.411,31.425,30.411,31.425
Total,35.216,32.33,36.666,36.08,37.629,36.638,37.948,37.889,36.352,36.934,35.048,35.892
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.063,0.062,0.067,0.075,0.072,0.072,0.055,0.046,0.039,0.039,0.041,0.055
Geothermal,0.702,0.634,0.702,0.68,0.702,0.68,0.702,0.702,0.68,0.702,0.68,0.702
Solar,0.04,0.043,0.059,0.065,0.072,0.072,0.076,0.075,0.068,0.062,0.051,0.049
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,5.684,5.125,5.691,5.462,5.667,5.493,5.678,5.673,5.486,5.663,5.483,5.686
Waste,2.006,1.872,1.928,1.955,2.022,2.147,2.272,2.265,2.096,1.97,1.839,2.172
Fuel Ethanol,0.033,0.027,0.029,0.024,0.025,0.019,0.033,0.023,0.026,0.035,0.028,0.028
Total,7.722,7.024,7.647,7.441,7.713,7.658,7.982,7.96,7.608,7.668,7.351,7.886
Total,8.528,7.763,8.475,8.261,8.56,8.482,8.816,8.784,8.395,8.472,8.122,8.692
