,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,3.363,3.038,3.363,3.255,3.363,3.255,3.363,3.363,3.255,3.363,3.255,3.363
Solar,9.849,11.02,15.904,17.764,19.594,20.263,20.686,20.033,17.939,16.044,12.552,11.736
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,36.775,33.216,36.775,35.588,36.775,35.588,36.775,36.775,35.588,36.775,35.588,36.775
Total,49.987,47.274,56.042,56.607,59.732,59.106,60.824,60.171,56.782,56.181,51.395,51.874
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.251,0.141,0.136,0.209,0.224,0.141,0.129,0.158,0.131,0.27,0.21,0.209
Geothermal,1.673,1.511,1.673,1.619,1.673,1.619,1.673,1.673,1.619,1.673,1.619,1.673
Solar,4.033,4.465,6.185,6.859,7.583,7.719,7.98,7.766,7.013,6.258,4.937,4.803
Wind,0.1,0.097,0.151,0.135,0.12,0.098,0.074,0.053,0.102,0.139,0.132,0.127
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,7.269,6.521,7.013,6.801,7.032,6.832,7.083,7.094,6.721,7.123,6.986,7.254
Waste,4.287,3.769,4.002,3.891,4.072,3.954,4.094,4.091,3.685,3.684,3.921,4.057
Fuel Ethanol,1.976,1.835,2.082,2.042,2.176,2.175,2.146,2.233,2.088,2.163,2.12,2.113
Total,13.532,12.124,13.097,12.734,13.28,12.961,13.324,13.417,12.494,12.97,13.027,13.424
Total,19.59,18.338,21.241,21.556,22.881,22.538,23.18,23.068,21.359,21.31,19.925,20.237
