,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,3.363,3.038,3.363,3.255,3.363,3.255,3.363,3.363,3.255,3.363,3.255,3.363
Solar,6.486,7.119,10.032,11.299,12.5,12.721,13.514,13.477,12.245,11.084,9.165,8.457
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,43.547,39.333,43.547,42.143,43.547,42.143,43.547,43.547,42.143,43.547,42.143,43.547
Total,53.396,49.49,56.942,56.696,59.411,58.119,60.425,60.388,57.642,57.995,54.562,55.368
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.031,0.024,0.025,0.025,0.024,0.033,0.029,0.023,0.02,0.026,0.027,0.039
Geothermal,1.673,1.511,1.673,1.619,1.673,1.619,1.673,1.673,1.619,1.673,1.619,1.673
Solar,3.238,3.534,4.769,5.254,5.773,5.726,5.977,5.789,5.152,4.544,3.67,3.474
Wind,0.1,0.087,0.095,0.106,0.097,0.075,0.068,0.067,0.073,0.104,0.118,0.113
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,6.817,6.181,6.737,6.518,6.576,6.469,6.822,6.701,6.539,6.69,6.485,6.753
Waste,3.858,3.392,3.882,3.859,4.007,3.931,4.268,4.083,4.045,3.776,3.913,4.016
Fuel Ethanol,2.019,1.907,2.127,2.036,2.226,2.177,2.237,2.25,2.161,2.178,2.128,2.141
Total,12.694,11.48,12.746,12.414,12.809,12.577,13.327,13.034,12.745,12.645,12.525,12.91
Total,17.735,16.637,19.308,19.419,20.376,20.03,21.074,20.586,19.609,18.992,17.96,18.208
