,Jan 1975,Feb 1975,Mar 1975,Apr 1975,May 1975,Jun 1975,Jul 1975,Aug 1975,Sep 1975,Oct 1975,Nov 1975,Dec 1975
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,36.131,32.634,36.131,34.965,36.131,34.965,36.131,36.131,34.965,36.131,34.965,36.131
Total,36.131,32.634,36.131,34.965,36.131,34.965,36.131,36.131,34.965,36.131,34.965,36.131
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.685,0.619,0.685,0.663,0.685,0.663,0.685,0.685,0.663,0.685,0.663,0.685
Waste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.685,0.619,0.685,0.663,0.685,0.663,0.685,0.685,0.663,0.685,0.663,0.685
Total,0.685,0.619,0.685,0.663,0.685,0.663,0.685,0.685,0.663,0.685,0.663,0.685
