,Jan 1998,Feb 1998,Mar 1998,Apr 1998,May 1998,Jun 1998,Jul 1998,Aug 1998,Sep 1998,Oct 1998,Nov 1998,Dec 1998
Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biofuels,19.477,14.054,15.307,17.467,14.75,16.033,15.64,16.269,17.262,17.655,17.794,20.766
Total,278.211,212.209,240.963,240.612,250.239,186.089,246.326,254.237,248.27,267.922,230.488,273.362
Total Renewable Energy,591.525,534.593,585.345,550.085,606.593,538.492,565.999,537.288,487.111,485.978,456.086,553.64
Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,293.86,305.87,323.122,291.715,338.499,329.782,292.237,256.055,212.368,192.567,204.15,256.829
Geothermal,15.811,12.721,15.674,10.788,9.908,11.755,14.565,15.558,15.259,16.743,15.035,14.633
Solar,3.466,3.709,5.523,6.093,6.486,6.838,7.289,7.139,6.362,5.699,4.567,4.278
Wind,0.177,0.083,0.063,0.876,1.461,4.027,5.582,4.299,4.852,3.047,1.847,4.539
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,218.095,158.343,179.494,178.06,186.622,128.7,184.548,191.758,186.479,202.005,171.31,198.747
Waste,40.639,39.813,46.162,45.084,48.867,41.356,46.139,46.21,44.53,48.262,41.384,53.849
Biofuels,19.047,14.668,16.458,16.07,13.976,15.135,15.376,16.221,16.908,18.484,17.35,21.342
Total,277.781,212.823,242.115,239.214,249.466,185.191,246.062,254.189,247.917,268.751,230.044,273.938
Total Renewable Energy,591.094,535.207,586.497,548.687,605.82,537.594,565.735,537.24,486.757,486.807,455.642,554.216
