,Jan 1990,Feb 1990,Mar 1990,Apr 1990,May 1990,Jun 1990,Jul 1990,Aug 1990,Sep 1990,Oct 1990,Nov 1990,Dec 1990
Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biofuels,9.416,8.505,9.416,9.112,9.416,9.112,9.416,9.416,9.112,9.416,9.112,9.416
Total,236.692,226.266,244.248,232.64,210.108,178.544,219.713,245.632,239.932,235.437,220.256,245.644
Total Renewable Energy,511.272,508.361,567.935,530.43,525.673,503.363,499.495,497.455,447.349,460.199,459.565,528.927
Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,253.277,262.555,301.333,276.175,291.917,300.121,257.581,230.354,187.254,203.213,219.084,263.525
Geothermal,15.036,13.739,15.116,12.08,14.14,14.647,14.779,14.592,13.746,14.398,13.805,14.668
Solar,3.133,3.396,4.686,5.161,5.865,5.823,6.183,6.147,5.469,5.038,4.015,3.851
Wind,3.134,2.405,2.551,4.373,3.644,4.227,1.239,0.729,0.947,2.114,2.405,1.239
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,193.411,186.722,199.565,190.159,166.803,134.939,176.618,201.445,196.099,190.414,177.629,202.362
Waste,33.865,31.039,35.267,33.369,33.889,34.493,33.679,34.771,34.72,35.607,33.515,33.866
Biofuels,9.416,8.505,9.416,9.112,9.416,9.112,9.416,9.416,9.112,9.416,9.112,9.416
Total,236.692,226.266,244.248,232.64,210.108,178.544,219.713,245.632,239.932,235.437,220.256,245.644
Total Renewable Energy,511.272,508.361,567.935,530.43,525.673,503.363,499.495,497.455,447.349,460.199,459.565,528.927
