,Jan 1975,Feb 1975,Mar 1975,Apr 1975,May 1975,Jun 1975,Jul 1975,Aug 1975,Sep 1975,Oct 1975,Nov 1975,Dec 1975
Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biofuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,127.269,114.942,127.251,123.139,127.303,123.241,127.288,127.321,123.21,127.312,123.18,127.277
Total Renewable Energy,392.756,368.278,423.49,405.368,421.283,411.622,398.459,368.23,341.957,368.786,383.196,403.696
Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,263.371,251.317,293.961,279.947,291.504,285.31,268.081,237.557,215.793,238.068,256.706,272.99
Geothermal,2.117,2.019,2.277,2.281,2.475,3.07,3.091,3.351,2.954,3.406,3.31,3.429
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,127.128,114.829,127.127,123.022,127.13,123.048,127.125,127.136,123.052,127.151,123.039,127.138
Waste,0.14,0.113,0.124,0.117,0.173,0.193,0.163,0.185,0.158,0.161,0.141,0.138
Biofuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,127.269,114.942,127.251,123.139,127.303,123.241,127.288,127.321,123.21,127.312,123.18,127.277
Total Renewable Energy,392.756,368.278,423.49,405.368,421.283,411.622,398.459,368.23,341.957,368.786,383.196,403.696
