,Jan 1992,Feb 1992,Mar 1992,Apr 1992,May 1992,Jun 1992,Jul 1992,Aug 1992,Sep 1992,Oct 1992,Nov 1992,Dec 1992
Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biofuels,12.282,11.489,12.282,11.886,12.282,11.886,12.282,12.282,11.886,12.282,11.886,12.282
Total,279.197,230.468,221.177,210.172,190.537,230.985,250.15,269.662,251.511,269.545,264.383,263.891
Total Renewable Energy,535.605,449.194,482.783,445.954,455.238,497.881,486.977,491.44,458.262,472.679,498.631,545.912
Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,235.95,196.021,237.66,212.719,242.426,244.966,214.207,198.457,183.3,180.27,212.065,259.394
Geothermal,15.635,13.827,15.679,14.254,15.069,14.876,15.109,15.214,14.18,14.943,14.869,15.043
Solar,3.273,3.545,4.873,5.512,6.236,6.278,6.735,6.653,5.975,5.4,4.404,3.996
Wind,1.551,5.333,3.393,3.297,0.97,0.776,0.776,1.454,3.297,2.521,2.909,3.587
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,225.223,179.107,169.584,162.501,136.512,178.938,196.218,216.248,199.5,219.054,220.592,209.993
Waste,41.692,39.871,39.312,35.785,41.743,40.161,41.651,41.132,40.125,38.209,31.905,41.616
Biofuels,12.282,11.489,12.282,11.886,12.282,11.886,12.282,12.282,11.886,12.282,11.886,12.282
Total,279.197,230.468,221.177,210.172,190.537,230.985,250.15,269.662,251.511,269.545,264.383,263.891
Total Renewable Energy,535.605,449.194,482.783,445.954,455.238,497.881,486.977,491.44,458.262,472.679,498.631,545.912
