,Jan 1983,Feb 1983,Mar 1983,Apr 1983,May 1983,Jun 1983,Jul 1983,Aug 1983,Sep 1983,Oct 1983,Nov 1983,Dec 1983
Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biofuels,5.363,4.844,5.363,5.19,5.363,5.19,5.363,5.363,5.19,5.363,5.19,5.363
Total,246.575,222.738,246.61,238.625,246.647,238.736,246.651,246.695,238.755,246.732,238.78,246.871
Total Renewable Energy,562.279,523.276,572.853,561.458,581.741,569.493,550.993,528.288,476.173,474.251,507.035,587.773
Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,310.615,296.625,321.73,318.603,331.656,326.237,298.715,274.189,230.65,220.423,261.94,335.876
Geothermal,5.087,3.913,4.51,4.227,3.434,4.518,5.627,7.404,6.764,7.091,6.311,5.025
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.002,0.0,0.003,0.002,0.003,0.002,0.001,0.0,0.004,0.005,0.004,0.001
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,227.926,205.87,227.938,220.561,227.897,220.582,227.933,227.978,220.641,228.031,220.719,228.194
Waste,13.286,12.023,13.309,12.875,13.387,12.964,13.354,13.354,12.924,13.338,12.872,13.314
Biofuels,5.363,4.844,5.363,5.19,5.363,5.19,5.363,5.363,5.19,5.363,5.19,5.363
Total,246.575,222.738,246.61,238.625,246.647,238.736,246.651,246.695,238.755,246.732,238.78,246.871
Total Renewable Energy,562.279,523.276,572.853,561.458,581.741,569.493,550.993,528.288,476.173,474.251,507.035,587.773
