,Jan 1976,Feb 1976,Mar 1976,Apr 1976,May 1976,Jun 1976,Jul 1976,Aug 1976,Sep 1976,Oct 1976,Nov 1976,Dec 1976
Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biofuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,145.049,135.695,145.051,140.363,145.047,140.405,145.088,145.11,140.436,145.114,140.651,145.364
Total Renewable Energy,421.775,396.173,427.044,396.931,415.728,411.555,421.425,398.129,356.984,369.186,351.386,360.834
Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,273.323,257.277,278.567,253.482,267.732,268.088,273.026,249.759,213.376,220.99,208.138,212.507
Geothermal,3.403,3.2,3.426,3.086,2.949,3.063,3.311,3.26,3.173,3.082,2.597,2.963
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,144.91,135.559,144.914,140.237,144.913,140.244,144.898,144.918,140.271,144.94,140.481,145.201
Waste,0.14,0.136,0.137,0.126,0.134,0.161,0.19,0.192,0.165,0.174,0.171,0.163
Biofuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,145.049,135.695,145.051,140.363,145.047,140.405,145.088,145.11,140.436,145.114,140.651,145.364
Total Renewable Energy,421.775,396.173,427.044,396.931,415.728,411.555,421.425,398.129,356.984,369.186,351.386,360.834
