,Jan 1995,Feb 1995,Mar 1995,Apr 1995,May 1995,Jun 1995,Jul 1995,Aug 1995,Sep 1995,Oct 1995,Nov 1995,Dec 1995
Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biofuels,18.455,16.773,18.162,17.599,17.171,16.388,15.354,14.663,15.073,15.905,14.993,17.201
Total,243.462,206.657,239.82,267.571,227.439,226.934,294.251,301.628,268.791,292.175,267.659,262.694
Total Renewable Energy,516.505,478.622,550.407,536.526,533.621,560.146,601.277,582.282,499.493,558.496,554.287,585.644
Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,256.445,258.244,294.609,253.408,286.483,311.683,283.275,251.378,206.52,238.738,263.386,301.139
Geothermal,13.067,9.702,10.67,9.352,8.606,9.317,10.066,16.447,11.83,19.182,17.276,16.542
Solar,3.473,3.778,5.26,6.125,6.879,7.073,7.293,7.201,6.445,5.754,4.675,4.276
Wind,0.059,0.241,0.047,0.071,4.214,5.14,6.392,5.628,5.907,2.646,1.291,0.994
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,181.661,151.839,181.966,202.143,174.718,164.965,234.038,240.237,208.217,227.438,203.6,199.049
Waste,43.345,38.045,39.692,47.829,35.551,45.581,44.859,46.729,45.502,48.833,49.066,46.444
Biofuels,17.366,15.809,18.363,17.318,15.558,17.411,14.341,12.71,15.114,18.294,19.828,17.684
Total,242.373,205.693,240.022,267.29,225.827,227.957,293.238,299.676,268.833,294.565,272.494,263.176
Total Renewable Energy,515.416,477.658,550.608,536.245,532.008,561.169,600.264,580.33,499.535,560.886,559.122,586.126
