,Jan 1982,Feb 1982,Mar 1982,Apr 1982,May 1982,Jun 1982,Jul 1982,Aug 1982,Sep 1982,Oct 1982,Nov 1982,Dec 1982
Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biofuels,2.922,2.639,2.922,2.828,2.922,2.828,2.922,2.922,2.828,2.922,2.828,2.922
Total,226.251,204.375,226.157,218.821,226.135,218.866,226.202,226.168,218.947,226.373,218.948,226.21
Total Renewable Energy,514.44,489.624,544.724,517.128,525.795,518.974,519.267,483.203,433.748,439.874,469.93,522.93
Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,284.215,281.593,315.347,295.061,295.887,295.552,288.273,252.259,210.219,208.623,245.861,292.668
Geothermal,3.975,3.656,3.22,3.247,3.773,4.556,4.792,4.776,4.581,4.877,5.122,4.053
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,213.205,192.598,213.132,206.24,213.101,206.255,213.146,213.158,206.364,213.332,206.347,213.17
Waste,10.124,9.137,10.103,9.753,10.112,9.784,10.135,10.087,9.755,10.119,9.772,10.118
Biofuels,2.922,2.639,2.922,2.828,2.922,2.828,2.922,2.922,2.828,2.922,2.828,2.922
Total,226.251,204.375,226.157,218.821,226.135,218.866,226.202,226.168,218.947,226.373,218.948,226.21
Total Renewable Energy,514.44,489.624,544.724,517.128,525.795,518.974,519.267,483.203,433.748,439.874,469.93,522.93
