,Jan 2019,Feb 2019
Production,0.0,0.0
Biomass,0.0,0.0
Biofuels,195.435,176.755
Total,445.83,404.496
Total Renewable Energy,977.674,896.17
Consumption,0.0,0.0
Hydroelectric Power,226.119,202.968
Geothermal,18.807,17.206
Solar,55.076,59.171
Wind,231.841,212.329
Biomass,0.0,0.0
Wood,202.964,182.491
Waste,41.389,37.373
Biofuels,178.261,171.265
Total,422.614,391.128
Total Renewable Energy,954.458,882.802
