,Jan 2019
Production,0.0
Biomass,0.0
Biofuels,195.435
Total,447.626
Total Renewable Energy,979.47
Consumption,0.0
Hydroelectric Power,226.119
Geothermal,18.807
Solar,55.076
Wind,231.841
Biomass,0.0
Wood,202.964
Waste,41.389
Biofuels,178.261
Total,422.614
Total Renewable Energy,954.458
