,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016
Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biofuels,185.228,176.031,190.242,174.648,188.777,189.35,195.919,198.477,187.216,193.852,192.014,203.194
Total,424.85,404.305,425.489,396.276,419.688,420.531,430.674,437.387,413.104,420.841,423.477,463.882
Total Renewable Energy,875.547,864.706,941.808,891.62,902.057,858.695,870.521,822.235,788.537,835.547,835.455,941.426
Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,236.473,222.851,252.863,238.906,235.29,214.523,198.076,180.666,151.106,160.072,173.638,207.976
Geothermal,17.675,16.51,17.52,16.366,17.766,16.758,17.484,17.604,17.453,17.871,17.796,18.801
Solar,26.066,35.123,43.391,48.053,55.309,56.37,61.635,61.121,55.436,49.027,41.391,37.087
Wind,170.482,185.916,202.545,192.019,174.004,150.513,162.653,125.457,151.438,187.736,179.153,213.679
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,192.542,181.185,185.83,174.042,181.47,182.906,189.188,190.915,179.582,180.17,183.332,208.602
Waste,42.164,40.467,43.543,42.678,42.94,40.067,41.448,41.958,39.307,40.714,43.322,44.61
Biofuels,173.48,173.162,186.866,174.878,192.613,192.11,201.722,205.414,192.696,195.694,194.582,203.973
Total,408.186,394.814,416.239,391.598,417.023,415.082,432.358,438.286,411.585,416.578,421.236,457.185
Total Renewable Energy,858.883,855.215,932.558,886.942,899.392,853.246,872.205,823.134,787.018,831.285,833.214,934.729
