,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,3.363,3.038,3.363,3.255,3.363,3.255,3.363,3.363,3.255,3.363,3.255,3.363
Solar,5.963,6.318,8.671,9.486,10.514,10.656,11.154,11.106,10.295,9.592,7.94,7.704
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,49.136,44.381,49.136,47.551,49.136,47.551,49.136,49.136,47.551,49.136,47.551,49.136
Total,58.462,53.737,61.17,60.292,63.013,61.462,63.653,63.605,61.101,62.091,58.746,60.203
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.04,0.033,0.037,0.037,0.038,0.032,0.032,0.026,0.026,0.022,0.018,0.023
Geothermal,1.673,1.511,1.673,1.619,1.673,1.619,1.673,1.673,1.619,1.673,1.619,1.673
Solar,3.005,3.25,4.386,4.748,5.233,5.217,5.388,5.317,4.791,4.326,3.48,3.318
Wind,0.09,0.072,0.08,0.079,0.061,0.09,0.078,0.061,0.074,0.103,0.125,0.098
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,6.539,5.885,6.507,6.172,6.483,6.406,6.51,6.493,6.231,6.426,6.199,6.438
Waste,4.469,3.457,3.801,3.756,3.965,3.935,4.203,4.155,3.936,3.8,3.647,3.839
Fuel Ethanol,0.288,0.273,0.291,0.297,0.311,0.305,0.318,0.316,0.295,0.319,0.304,0.312
Total,11.296,9.615,10.599,10.225,10.76,10.646,11.031,10.964,10.462,10.546,10.15,10.589
Total,16.104,14.483,16.775,16.708,17.764,17.604,18.202,18.042,16.972,16.67,15.393,15.702
