,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,3.354,3.138,3.354,3.246,3.354,3.246,3.354,3.354,3.246,3.354,3.246,3.354
Solar,8.106,9.603,12.851,14.526,16.105,16.651,17.333,16.825,14.987,13.402,10.941,9.963
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,37.932,35.485,37.932,36.708,37.932,36.708,37.932,37.932,36.708,37.932,36.708,37.932
Total,49.391,48.225,54.137,54.48,57.39,56.605,58.619,58.111,54.941,54.688,50.895,51.249
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.195,0.164,0.204,0.135,0.106,0.118,0.138,0.177,0.217,0.198,0.161,0.191
Geothermal,1.669,1.561,1.669,1.615,1.669,1.615,1.669,1.669,1.615,1.669,1.615,1.669
Solar,3.441,4.038,5.207,5.649,6.123,6.237,6.421,6.254,5.584,4.947,3.955,3.879
Wind,0.104,0.114,0.116,0.11,0.098,0.083,0.09,0.07,0.085,0.11,0.103,0.131
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,7.17,6.695,6.981,6.839,6.964,6.929,7.105,7.184,6.901,7.046,6.815,7.113
Waste,3.98,3.614,4.104,3.931,4.051,3.992,4.213,4.169,3.96,3.905,4.076,4.136
Fuel Ethanol,1.99,2.032,2.171,2.012,2.195,2.195,2.246,2.276,2.131,2.165,2.136,2.25
Total,13.14,12.342,13.256,12.781,13.209,13.116,13.563,13.629,12.992,13.115,13.027,13.499
Total,18.548,18.218,20.452,20.29,21.205,21.169,21.882,21.799,20.493,20.038,18.861,19.37
