,Jan 1995,Feb 1995,Mar 1995,Apr 1995,May 1995,Jun 1995,Jul 1995,Aug 1995,Sep 1995,Oct 1995,Nov 1995,Dec 1995
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.561,0.506,0.561,0.542,0.561,0.542,0.561,0.561,0.542,0.561,0.542,0.561
Solar,3.398,3.663,5.047,5.562,6.141,6.196,6.504,6.437,5.871,5.351,4.389,4.166
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,44.164,39.89,44.164,42.74,44.164,42.74,44.164,44.164,42.74,44.164,42.74,44.164
Total,48.123,44.06,49.772,48.845,50.866,49.478,51.229,51.162,49.153,50.076,47.671,48.891
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.098,0.098,0.112,0.096,0.109,0.119,0.108,0.096,0.079,0.091,0.1,0.115
Geothermal,0.382,0.345,0.382,0.37,0.382,0.37,0.382,0.382,0.37,0.382,0.37,0.382
Solar,0.017,0.018,0.025,0.028,0.031,0.031,0.033,0.032,0.029,0.027,0.022,0.021
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,6.132,5.528,6.132,5.955,6.126,5.925,6.173,6.178,5.96,6.168,5.956,6.145
Waste,3.222,2.791,2.829,3.749,2.385,3.508,3.384,3.585,3.499,3.811,3.882,3.554
Fuel Ethanol,0.011,0.01,0.013,0.012,0.01,0.013,0.009,0.008,0.01,0.014,0.016,0.013
Total,9.365,8.33,8.974,9.716,8.521,9.445,9.567,9.771,9.469,9.993,9.854,9.712
Total,9.861,8.792,9.494,10.21,9.043,9.965,10.089,10.281,9.947,10.493,10.346,10.23
