,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,3.354,3.138,3.354,3.246,3.354,3.246,3.354,3.354,3.246,3.354,3.246,3.354
Solar,4.271,4.604,6.344,6.992,7.718,7.788,8.176,8.091,7.379,6.725,5.517,5.237
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,37.106,34.712,37.106,35.909,37.106,35.909,37.106,37.106,35.909,37.106,35.909,37.106
Total,44.732,42.454,46.804,46.147,48.179,46.943,48.636,48.551,46.535,47.186,44.672,45.697
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.027,0.022,0.022,0.022,0.028,0.022,0.019,0.02,0.018,0.021,0.02,0.021
Geothermal,1.669,1.561,1.669,1.615,1.669,1.615,1.669,1.669,1.615,1.669,1.615,1.669
Solar,1.761,1.913,2.65,2.947,3.276,3.318,3.461,3.413,3.152,2.864,2.337,2.207
Wind,0.056,0.045,0.048,0.05,0.042,0.038,0.027,0.027,0.033,0.05,0.046,0.05
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,5.138,4.812,5.122,4.973,5.118,4.985,5.158,5.156,4.966,5.12,4.986,5.148
Waste,3.777,3.622,3.696,3.67,3.817,3.63,3.818,3.94,3.763,3.898,3.71,3.907
Fuel Ethanol,0.2,0.199,0.215,0.211,0.225,0.219,0.214,0.231,0.202,0.223,0.203,0.209
Total,9.115,8.633,9.033,8.854,9.161,8.834,9.19,9.328,8.932,9.241,8.899,9.264
Total,12.629,12.174,13.422,13.488,14.175,13.827,14.365,14.457,13.749,13.845,12.917,13.21
