,Jan 2002,Feb 2002,Mar 2002,Apr 2002,May 2002,Jun 2002,Jul 2002,Aug 2002,Sep 2002,Oct 2002,Nov 2002,Dec 2002
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.867,0.783,0.867,0.839,0.867,0.839,0.867,0.867,0.839,0.867,0.839,0.867
Solar,2.887,3.112,4.288,4.726,5.217,5.264,5.526,5.469,4.988,4.546,3.729,3.54
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,32.274,29.151,32.274,31.233,32.274,31.233,32.274,32.274,31.233,32.274,31.233,32.274
Total,36.028,33.046,37.429,36.798,38.358,37.336,38.667,38.61,37.06,37.687,35.801,36.68
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.007,0.012,0.011,0.008,0.009,0.012,0.013,0.012,0.01,0.01,0.013,0.013
Geothermal,0.743,0.671,0.743,0.719,0.743,0.719,0.743,0.743,0.719,0.743,0.719,0.743
Solar,0.046,0.05,0.069,0.076,0.084,0.084,0.089,0.088,0.08,0.073,0.06,0.057
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,5.847,5.266,5.834,5.646,5.811,5.628,5.866,5.854,5.646,5.816,5.622,5.824
Waste,1.858,1.687,1.913,1.975,2.285,2.307,2.491,2.551,2.353,2.306,2.244,1.907
Fuel Ethanol,0.035,0.033,0.028,0.034,0.036,0.033,0.038,0.038,0.038,0.046,0.052,0.049
Total,7.739,6.986,7.775,7.654,8.132,7.967,8.395,8.443,8.037,8.167,7.918,7.78
Total,8.536,7.719,8.598,8.457,8.968,8.784,9.239,9.286,8.847,8.994,8.71,8.593
