,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,3.363,3.038,3.363,3.255,3.363,3.255,3.363,3.363,3.255,3.363,3.255,3.363
Solar,4.953,5.339,7.356,8.108,8.95,9.031,9.481,9.382,8.557,7.799,6.397,6.073
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,48.551,43.853,48.551,46.985,48.551,46.985,48.551,48.551,46.985,48.551,46.985,48.551
Total,56.868,52.23,59.271,58.348,60.865,59.271,61.395,61.297,58.797,59.714,56.637,57.987
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.037,0.04,0.042,0.04,0.044,0.044,0.048,0.034,0.027,0.017,0.019,0.028
Geothermal,1.673,1.511,1.673,1.619,1.673,1.619,1.673,1.673,1.619,1.673,1.619,1.673
Solar,2.167,2.384,3.296,3.644,4.019,4.075,4.246,4.215,3.881,3.575,2.92,2.771
Wind,0.058,0.048,0.052,0.052,0.048,0.038,0.032,0.026,0.037,0.045,0.075,0.068
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,5.956,5.385,5.965,5.686,5.916,5.764,5.958,5.964,5.723,5.991,5.817,6.04
Waste,3.811,3.407,3.991,3.853,4.08,4.062,4.126,4.132,3.946,3.889,3.762,4.015
Fuel Ethanol,0.207,0.192,0.221,0.221,0.232,0.231,0.228,0.227,0.223,0.233,0.222,0.23
Total,9.974,8.984,10.177,9.76,10.227,10.057,10.312,10.324,9.892,10.113,9.802,10.284
Total,13.91,12.967,15.24,15.115,16.011,15.834,16.311,16.272,15.456,15.423,14.434,14.825
