,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018
Residential Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,3.363,3.038,3.363,3.255,3.363,3.255,3.363,3.363,3.255,3.363,3.255,3.363
Solar,12.079,13.198,18.23,20.774,22.871,23.31,23.923,22.927,20.179,18.145,14.508,13.375
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,43.93,39.678,43.93,42.513,43.93,42.513,43.93,43.93,42.513,43.93,42.513,43.93
Total,59.372,55.914,65.523,66.542,70.164,69.077,71.216,70.22,65.947,65.438,60.276,60.668
Commercial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,0.208,0.208,0.0,0.228,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.157
Geothermal,1.673,1.511,1.673,1.619,1.673,1.619,1.673,1.673,1.619,1.673,1.619,1.981
Solar,5.297,5.849,7.908,8.815,9.688,9.951,10.137,9.758,8.816,7.7,6.069,5.696
Wind,0.165,0.15,0.182,0.166,0.147,0.141,0.106,0.12,0.121,0.149,0.16,0.153
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,7.205,6.557,7.217,6.828,7.039,6.927,7.129,7.174,6.861,7.044,6.835,7.257
Waste,3.911,3.626,3.943,3.637,3.672,3.583,3.571,3.623,3.23,3.7,3.8,3.907
Fuel Ethanol,2.13,1.763,2.087,1.922,2.234,2.126,2.199,2.273,1.971,2.153,2.057,2.118
Total,13.245,11.946,13.246,12.387,12.944,12.636,12.899,13.07,12.062,12.896,12.692,13.281
Total,20.588,19.664,23.225,23.215,24.696,24.56,24.993,24.775,22.751,22.544,20.692,21.268
