,Rank,Rank w/o Hydropower,State,% Renewable,% Renewable,Renewable Electricity,Renewable Electricity,Total electricity (GW•h)
,Rank,Rank w/o Hydropower,State,with  Hydro,w/o  Hydro,with Hydro  (GW•h),w/o Hydro  (GW•h),Total electricity (GW•h)
0,,,,17.1,9.6,687290,387245,4014804
1,1.0,2.0,,99.6,41.3,2069,858,2077
2,2.0,10.0,,81.6,21.9,12989,3480,15926
3,3.0,21.0,,80.0,8.2,92342,9517,115474
4,4.0,16.0,,76.3,13.6,44623,7980,58516
5,5.0,1.0,,75.9,46.1,8492,5163,11192
6,6.0,6.0,,73.1,30.2,7651,3156,10464
7,7.0,8.0,,47.2,26.5,97298,54606,206107
8,8.0,23.0,,45.1,7.8,12753,2192,28269
9,9.0,3.0,,38.8,37.2,21933,21018,56478
10,10.0,4.0,,36.2,36.1,18590,18561,51366
11,11.0,5.0,,36.1,32.3,27598,24737,76545
12,12.0,35.0,,33.3,3.45,1987,206,5971
13,13.0,7.0,,31.8,26.9,13029,10993,40931
14,14.0,31.0,,27.8,5.0,35505,6440,127880
15,15.0,9.0,,24.9,22.8,14885,13628,59701
16,16.0,11.0,,24.8,20.1,9414,7621,37967
17,17.0,12.0,,23.4,19.6,12686,10668,54318
18,18.0,18.0,,19.9,12.5,3483,2195,17494
19,19.0,15.0,,19.3,14.9,6945,5351,35937
20,20.0,13.0,,17.7,16.9,5933,5683,33566
21,21.0,14.0,,16.0,15.6,72345,70759,452235
22,22.0,17.0,,14.2,13.5,1399,1332,9848
23,23.0,30.0,,11.8,5.3,12536,5564,105833
24,24.0,20.0,,11.6,9.4,4263,3444,36732
25,25.0,19.0,,11.6,9.4,5434,4398,46826
26,26.0,49.0,,11.2,1.42,8725,1111,78103
27,27.0,22.0,,10.5,7.8,3291,2466,31456
28,28.0,26.0,,10.3,6.6,13398,8682,130689
29,29.0,34.0,,9.8,4.07,3352,1389,34132
30,30.0,32.0,,9.3,4.9,6040,3195,65247
31,31.0,42.0,,9.2,2.57,12782,3580,139194
32,32.0,44.0,,8.8,2.45,5470,1519,62109
33,33.0,25.0,,8.3,6.9,9344,7732,112367
34,34.0,29.0,,7.9,5.5,10194,7054,128979
35,35.0,24.0,,7.2,7.2,378,376,5244
36,36.0,50.0,,6.9,0.67,4948,483,72116
37,37.0,27.0,,6.6,6.5,11976,11847,181911
38,38.0,33.0,,6.4,4.72,6027,4410,93500
39,39.0,28.0,,6.0,5.5,6001,5533,100492
40,40.0,36.0,,5.9,2.99,5497,2793,93467
41,41.0,46.0,,4.6,2.19,3376,1607,73410
42,42.0,37.0,,4.35,2.99,8705,5981,200201
43,43.0,43.0,,4.24,2.57,3552,2152,83801
44,44.0,38.0,,4.15,2.88,4027,2796,96978
45,45.0,40.0,,3.46,2.7,1180,920,34108
46,46.0,39.0,,2.89,2.85,2153,2127,74541
47,47.0,41.0,,2.6,2.6,1573,1573,60574
48,48.0,45.0,,2.53,2.44,6006,5811,237821
49,49.0,47.0,,2.48,2.02,2954,2401,118974
50,50.0,48.0,,1.68,1.68,129,129,7662
