,Rank,Rank w/o Hydropower,State,% Renewable,% Renewable,Renewable Electricity,Renewable Electricity,Total electricity (GW•h)
,Rank,Rank w/o Hydropower,State,with  Hydro,w/o  Hydro,with Hydro  (GW•h),w/o Hydro  (GW•h),Total electricity (GW•h)
0,,,,14.9,8.4,609057,343228,4078670
1,1.0,1.0,,99.8,44.3,1898,842,1901
2,2.0,10.0,,78.6,19.6,12584,3138,16011
3,3.0,20.0,,77.1,8.9,86902,10059,112784
4,4.0,13.0,,70.9,14.2,42122,8422,59425
5,5.0,4.0,,70.2,30.4,7280,3146,10363
6,6.0,2.0,,63.6,38.1,7408,4440,11650
7,7.0,21.0,,43.8,7.6,12334,2151,28153
8,8.0,6.0,,40.3,25.8,80208,51263,199038
9,9.0,3.0,,38.8,37.1,21261,20305,54793
10,10.0,33.0,,32.6,3.97,1764,215,5417
11,11.0,5.0,,29.7,29.7,14187,14187,47705
12,12.0,7.0,,28.6,25.5,22226,19844,77740
13,13.0,8.0,,26.6,21.5,10003,8091,37582
14,14.0,28.0,,24.6,4.78,33016,6412,134249
15,15.0,9.0,,22.2,20.7,13348,12464,60148
16,16.0,11.0,,22.0,18.5,11981,10063,54394
17,17.0,12.0,,21.6,17.1,8531,6764,39549
18,18.0,17.0,,16.8,11.0,3243,2122,19249
19,19.0,14.0,,14.9,13.7,1436,1318,9607
20,20.0,18.0,,14.9,10.4,5618,3893,37603
21,21.0,15.0,,13.9,13.5,4598,4452,33010
22,22.0,16.0,,13.4,13.2,61140,60037,455532
23,23.0,19.0,,11.6,9.4,5361,4363,46292
24,24.0,32.0,,10.7,4.15,11673,4515,108770
25,25.0,49.0,,10.7,1.41,8544,1126,80035
26,26.0,22.0,,9.0,6.6,2908,2138,32453
27,27.0,24.0,,8.3,6.1,3131,2315,37791
28,28.0,29.0,,8.3,4.55,5351,2946,64797
29,29.0,27.0,,8.2,4.78,10812,6283,131486
30,30.0,42.0,,8.0,2.37,4842,1432,60417
31,31.0,23.0,,7.8,6.4,8761,7213,112719
32,32.0,43.0,,7.7,2.3,11010,3289,143022
33,33.0,35.0,,7.3,3.59,2735,1338,37282
34,34.0,31.0,,6.5,4.17,8645,5563,133318
35,35.0,30.0,,6.1,4.49,5672,4146,92439
36,36.0,25.0,,6.1,6.0,11388,11259,186939
37,37.0,26.0,,5.9,5.5,6038,5623,101824
38,38.0,40.0,,4.93,2.45,4777,2378,96970
39,39.0,50.0,,4.87,0.58,3914,464,80345
40,40.0,34.0,,3.92,3.92,258,258,6588
41,41.0,36.0,,3.87,2.76,8311,5935,214811
42,42.0,45.0,,3.76,1.9,2847,1437,75626
43,43.0,38.0,,3.55,2.52,3790,2687,106688
44,44.0,39.0,,3.28,2.5,1197,911,36455
45,45.0,47.0,,3.23,1.66,2547,1310,78905
46,46.0,37.0,,2.61,2.61,2027,2027,77620
47,47.0,41.0,,2.37,2.37,1494,1494,62906
48,48.0,46.0,,2.19,1.76,2619,2102,119356
49,49.0,44.0,,2.16,2.06,5132,4913,238094
50,50.0,48.0,,1.55,1.55,136,136,8765
