,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010
Hydroelectric Power,216.655,199.228,201.859,184.374,242.956,289.857,238.097,195.309,167.682,171.33,189.516,224.624
Geothermal,12.798,11.308,12.747,12.1,12.786,12.328,12.425,12.653,12.22,11.922,12.218,12.974
Solar,0.096,0.32,0.74,1.094,1.492,1.708,1.566,1.518,1.335,0.731,0.745,0.418
Wind,66.859,52.985,83.78,95.246,84.838,78.516,65.589,65.217,69.31,77.484,95.08,88.366
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,17.362,16.329,16.444,14.876,14.27,16.205,17.274,17.996,16.067,14.985,16.297,17.49
Waste,21.236,19.742,22.427,21.442,21.71,22.52,22.749,22.693,21.723,21.613,22.713,23.208
Total,38.597,36.072,38.871,36.319,35.98,38.724,40.023,40.689,37.79,36.598,39.011,40.698
Total,335.005,299.912,337.997,329.132,378.051,421.135,357.7,315.385,288.337,298.065,336.57,367.08
