,Jan 2019,Feb 2019
Hydroelectric Power,225.059,202.059
Geothermal,13.027,11.961
Solar,33.319,35.697
Wind,231.59,212.095
Biomass,0.0,0.0
Wood,20.157,17.073
Waste,22.642,20.412
Total,42.799,37.485
Total,545.793,499.296
