,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Unnamed: 13_level_0
,Unnamed: 0_level_1,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Wind,Wind,Wind,Wind,Unnamed: 13_level_1
,Unnamed: 0_level_2,Urban Utility Scale PV,Urban Utility Scale PV,Rural Utility Scale PV,Rural Utility Scale PV,Rooftop PV,Rooftop PV,Concentrating Solar Power (CSP),Concentrating Solar Power (CSP),Onshore Wind Power,Onshore Wind Power,Offshore Wind Power,Offshore Wind Power,Unnamed: 13_level_2
,State,MW,GWh,MW,GWh,MW,GWh,MW,GWh,MW,GWh,MW,GWh,Unnamed: 13_level_3
,Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued]
,Unnamed: 0_level_5,Bioenergy,Bioenergy,Bioenergy,Bioenergy,Geothermal,Geothermal,Geothermal,Geothermal,Hydro,Hydro,Unnamed: 11_level_5,Electricity,Total
,Unnamed: 0_level_6,Biomass/Biofuel,Biomass/Biofuel,Methane,Methane,Hydrothermal,Hydrothermal,Enhanced Geothermal,Enhanced Geothermal,Hydropower,Hydropower,Total,2010,2010
,State,MW,GWh,MW,GWh,MW,GWh,MW,GWh,MW,GWh,GWh,GWh,GWh
0,"Technical potential by state  Solar  Wind  Urban Utility Scale PV  Rural Utility Scale PV  Rooftop PV  Concentrating Solar Power (CSP)  Onshore Wind Power  Offshore Wind Power  State  MW  GWh  MW  GWh  MW  GWh  MW  GWh  MW  GWh  MW  GWh  Alabama  0  0  Alaska  N/A  N/A  N/A  Arizona  N/A  N/A  Arkansas  N/A  N/A  California  Colorado  N/A  N/A  Connecticut  Delaware  Florida  Georgia  Hawaii  N/A  Idaho  N/A  N/A  Illinois  Indiana  Iowa  N/A  N/A  Kansas  N/A  N/A  Kentucky  N/A  N/A  Louisiana  Maine  Maryland  Massachusetts  Michigan  Minnesota  Mississippi  Missouri  N/A  N/A  Montana  N/A  N/A  Nebraska  N/A  N/A  Nevada  N/A  N/A  New Hampshire  New Jersey  New Mexico  N/A  N/A  New York  North Carolina  North Dakota  N/A  N/A  Ohio  Oklahoma  N/A  N/A  Oregon  Pennsylvania  Rhode Island  South Carolina  South Dakota  N/A  N/A  Tennessee  N/A  N/A  Texas  Utah  N/A  N/A  Vermont  N/A  N/A  Virginia  Washington  DC  N/A  N/A  West Virginia  N/A  N/A  Wisconsin  Wyoming  N/A  N/A  TOTAL  1,217,699  2,231,694  152,973,829  280,613,217  664,825  818,733  38,066,401  116,146,245  10,954,759  32,784,005  4,223,514  16,975,802",,,,,,,,,,,,,
1,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,
2,,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Wind,Wind,Wind,Wind,
3,,Urban Utility Scale PV,Urban Utility Scale PV,Rural Utility Scale PV,Rural Utility Scale PV,Rooftop PV,Rooftop PV,Concentrating Solar Power (CSP),Concentrating Solar Power (CSP),Onshore Wind Power,Onshore Wind Power,Offshore Wind Power,Offshore Wind Power,
4,State,MW,GWh,MW,GWh,MW,GWh,MW,GWh,MW,GWh,MW,GWh,
5,Alabama,,,,,,,,,,,0,0,
6,Alaska,,,,,,,,,,,,,
7,Arizona,,,,,,,,,,,,,
8,Arkansas,,,,,,,,,,,,,
9,California,,,,,,,,,,,,,
10,Colorado,,,,,,,,,,,,,
11,Connecticut,,,,,,,,,,,,,
12,Delaware,,,,,,,,,,,,,
13,Florida,,,,,,,,,,,,,
14,Georgia,,,,,,,,,,,,,
15,Hawaii,,,,,,,,,,,,,
16,Idaho,,,,,,,,,,,,,
17,Illinois,,,,,,,,,,,,,
18,Indiana,,,,,,,,,,,,,
19,Iowa,,,,,,,,,,,,,
20,Kansas,,,,,,,,,,,,,
21,Kentucky,,,,,,,,,,,,,
22,Louisiana,,,,,,,,,,,,,
23,Maine,,,,,,,,,,,,,
24,Maryland,,,,,,,,,,,,,
25,Massachusetts,,,,,,,,,,,,,
26,Michigan,,,,,,,,,,,,,
27,Minnesota,,,,,,,,,,,,,
28,Mississippi,,,,,,,,,,,,,
29,Missouri,,,,,,,,,,,,,
30,Montana,,,,,,,,,,,,,
31,Nebraska,,,,,,,,,,,,,
32,Nevada,,,,,,,,,,,,,
33,New Hampshire,,,,,,,,,,,,,
34,New Jersey,,,,,,,,,,,,,
35,New Mexico,,,,,,,,,,,,,
36,New York,,,,,,,,,,,,,
37,North Carolina,,,,,,,,,,,,,
38,North Dakota,,,,,,,,,,,,,
39,Ohio,,,,,,,,,,,,,
40,Oklahoma,,,,,,,,,,,,,
41,Oregon,,,,,,,,,,,,,
42,Pennsylvania,,,,,,,,,,,,,
43,Rhode Island,,,,,,,,,,,,,
44,South Carolina,,,,,,,,,,,,,
45,South Dakota,,,,,,,,,,,,,
46,Tennessee,,,,,,,,,,,,,
47,Texas,,,,,,,,,,,,,
48,Utah,,,,,,,,,,,,,
49,Vermont,,,,,,,,,,,,,
50,Virginia,,,,,,,,,,,,,
51,Washington,,,,,,,,,,,,,
52,DC,,,,,,,,,,,,,
53,West Virginia,,,,,,,,,,,,,
54,Wisconsin,,,,,,,,,,,,,
55,Wyoming,,,,,,,,,,,,,
