,Year,Summer Capacity (GW),Electric energy (TWh)
0,2018,19.522000000000002,29.54
1,2017,16.148,23.99
2,2016,12.77,18.81
3,2015,9.777999999999999,14.139000000000001
4,2014,7.3260000000000005,11.232999999999999
