,0,1
0,Texas Wind Generation Capacity by Year (MW)  Megawatts of Installed Generating Capacity,Texas Wind Generation by Year (MWh x 1000)  Thousand Megawatt hours of generation
1,,
2,Megawatts of Installed Generating Capacity,
3,,
4,Thousand Megawatt hours of generation,
