,Jan 2001,Feb 2001,Mar 2001,Apr 2001,May 2001,Jun 2001,Jul 2001,Aug 2001,Sep 2001,Oct 2001,Nov 2001,Dec 2001
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,2.423,2.432,3.493,2.924,3.032,3.007,2.498,3.269,2.509,2.131,2.042,2.739
Geothermal,0.404,0.365,0.404,0.391,0.404,0.391,0.404,0.404,0.391,0.404,0.391,0.404
Solar,0.009,0.009,0.013,0.014,0.016,0.016,0.017,0.017,0.015,0.014,0.011,0.011
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,127.304,112.969,120.59,118.698,114.282,116.261,120.904,124.827,117.453,127.141,120.21,122.004
Waste,11.505,9.636,10.827,11.018,10.195,9.912,10.275,10.141,10.014,11.01,12.044,12.019
Fuel Ethanol,0.261,0.211,0.225,0.187,0.197,0.146,0.259,0.177,0.205,0.275,0.222,0.224
Losses and Coproducts,9.15,8.318,8.96,8.259,8.548,8.474,8.889,8.999,8.884,9.582,9.713,9.821
Total,148.221,131.134,140.603,138.161,133.223,134.793,140.327,144.145,136.555,148.009,142.188,144.068
Total,151.057,133.94,144.513,141.491,136.675,138.207,143.246,147.835,139.471,150.558,144.633,147.221
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,14.203,11.464,12.232,10.159,10.713,7.958,14.067,9.65,11.128,14.974,12.069,12.205
Biodiesel,0.092,0.064,0.104,0.081,0.092,0.095,0.151,0.09,0.13,0.147,0.174,0.091
Total,14.294,11.528,12.336,10.24,10.806,8.053,14.218,9.739,11.258,15.121,12.243,12.296
