,Jan 1985,Feb 1985,Mar 1985,Apr 1985,May 1985,Jun 1985,Jul 1985,Aug 1985,Sep 1985,Oct 1985,Nov 1985,Dec 1985
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,3.047,2.575,2.93,3.101,3.476,3.331,2.941,2.466,2.227,2.152,2.314,2.465
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,139.712,126.192,139.712,135.205,139.712,135.205,139.712,139.712,135.205,139.712,135.205,139.712
Waste,19.503,17.616,19.503,18.874,19.503,18.874,19.503,19.503,18.874,19.503,18.874,19.503
Fuel Ethanol,0.072,0.065,0.072,0.07,0.072,0.07,0.072,0.072,0.07,0.072,0.07,0.072
Losses and Coproducts,3.583,3.237,3.583,3.468,3.583,3.468,3.583,3.583,3.468,3.583,3.468,3.583
Total,162.871,147.109,162.871,157.617,162.871,157.617,162.871,162.871,157.617,162.871,157.617,162.871
Total,165.918,149.684,165.801,160.718,166.347,160.948,165.812,165.337,159.844,165.023,159.931,165.336
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,4.224,3.816,4.224,4.088,4.224,4.088,4.224,4.224,4.088,4.224,4.088,4.224
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,4.224,3.816,4.224,4.088,4.224,4.088,4.224,4.224,4.088,4.224,4.088,4.224
