,Jan 1999,Feb 1999,Mar 1999,Apr 1999,May 1999,Jun 1999,Jul 1999,Aug 1999,Sep 1999,Oct 1999,Nov 1999,Dec 1999
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,4.495,4.369,4.885,4.163,4.416,4.655,4.521,3.918,3.181,3.031,3.223,3.802
Geothermal,0.348,0.315,0.348,0.337,0.348,0.337,0.348,0.348,0.337,0.348,0.337,0.348
Solar,0.006,0.007,0.009,0.01,0.011,0.012,0.012,0.012,0.011,0.01,0.008,0.008
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,158.133,117.506,103.329,134.499,168.155,125.859,151.814,146.262,133.033,116.339,142.292,122.299
Waste,14.234,13.225,14.425,14.279,14.825,14.327,14.541,14.379,14.056,14.422,14.012,14.316
Fuel Ethanol,0.099,0.083,0.088,0.081,0.082,0.09,0.077,0.088,0.088,0.11,0.113,0.127
Losses and Coproducts,8.164,6.57,7.541,8.162,7.41,6.109,6.083,7.291,7.618,8.229,7.713,8.945
Total,180.629,137.384,125.383,157.021,190.471,146.385,172.516,168.02,154.795,139.1,164.13,145.687
Total,185.479,142.074,130.626,161.532,195.246,151.388,177.397,172.298,158.324,142.489,167.698,149.846
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,10.305,8.645,9.221,8.511,8.57,9.42,8.055,9.228,9.249,11.485,11.804,13.302
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,10.305,8.645,9.221,8.511,8.57,9.42,8.055,9.228,9.249,11.485,11.804,13.302
