,Jan 1989,Feb 1989,Mar 1989,Apr 1989,May 1989,Jun 1989,Jul 1989,Aug 1989,Sep 1989,Oct 1989,Nov 1989,Dec 1989
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,2.242,1.995,2.426,2.579,3.005,2.773,2.429,2.163,2.027,2.151,2.27,2.338
Geothermal,0.153,0.138,0.153,0.148,0.153,0.148,0.153,0.153,0.148,0.153,0.148,0.153
Solar,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.002
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,137.726,126.626,142.619,128.396,110.276,119.518,125.32,140.355,130.369,137.115,140.402,144.842
Waste,16.04,14.613,15.364,15.412,16.98,16.578,17.602,17.416,17.371,17.98,17.532,17.518
Fuel Ethanol,0.084,0.076,0.084,0.081,0.084,0.081,0.084,0.084,0.081,0.084,0.081,0.084
Losses and Coproducts,4.739,4.28,4.739,4.586,4.739,4.586,4.739,4.739,4.586,4.739,4.586,4.739
Total,158.589,145.594,162.805,148.475,132.079,140.763,147.745,162.594,152.407,159.917,162.601,167.182
Total,160.986,147.729,165.387,151.205,135.241,143.687,150.33,164.913,154.585,162.224,165.021,169.675
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,5.783,5.223,5.783,5.597,5.783,5.597,5.783,5.783,5.597,5.783,5.597,5.783
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,5.783,5.223,5.783,5.597,5.783,5.597,5.783,5.783,5.597,5.783,5.597,5.783
