,Jan 1992,Feb 1992,Mar 1992,Apr 1992,May 1992,Jun 1992,Jul 1992,Aug 1992,Sep 1992,Oct 1992,Nov 1992,Dec 1992
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,2.75,2.285,2.77,2.479,2.826,2.855,2.497,2.313,2.136,2.101,2.472,3.023
Geothermal,0.186,0.174,0.186,0.18,0.186,0.18,0.186,0.186,0.18,0.186,0.18,0.186
Solar,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.004,0.003,0.003
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,149.843,112.038,100.277,95.606,70.815,110.249,124.004,141.848,128.566,144.347,147.356,136.275
Waste,15.307,14.42,15.031,14.285,15.313,14.791,15.302,15.242,14.787,14.904,13.836,15.298
Fuel Ethanol,0.096,0.09,0.096,0.093,0.096,0.093,0.096,0.096,0.093,0.096,0.093,0.096
Losses and Coproducts,5.392,5.045,5.392,5.218,5.392,5.218,5.392,5.392,5.218,5.392,5.218,5.392
Total,170.638,131.592,120.796,115.202,91.616,130.351,144.794,162.578,148.665,164.739,166.503,157.061
Total,173.577,134.054,123.756,117.866,94.633,133.392,147.482,165.082,150.986,167.03,169.158,160.274
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,6.754,6.319,6.754,6.537,6.754,6.537,6.754,6.754,6.537,6.754,6.537,6.754
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,6.754,6.319,6.754,6.537,6.754,6.537,6.754,6.754,6.537,6.754,6.537,6.754
