,Jan 1981,Feb 1981,Mar 1981,Apr 1981,May 1981,Jun 1981,Jul 1981,Aug 1981,Sep 1981,Oct 1981,Nov 1981,Dec 1981
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,3.048,2.576,2.932,3.102,3.478,3.333,2.942,2.467,2.228,2.153,2.316,2.466
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,136.06,122.893,136.06,131.671,136.06,131.671,136.06,136.06,131.671,136.06,131.671,136.06
Waste,7.365,6.652,7.365,7.128,7.365,7.128,7.365,7.365,7.128,7.365,7.128,7.365
Fuel Ethanol,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
Losses and Coproducts,0.498,0.45,0.498,0.482,0.498,0.482,0.498,0.498,0.482,0.498,0.482,0.498
Total,143.93,130.002,143.93,139.288,143.93,139.288,143.93,143.93,139.288,143.93,139.288,143.93
Total,146.979,132.578,146.863,142.39,147.409,142.62,146.873,146.398,141.516,146.083,141.603,146.396
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,0.571,0.516,0.571,0.553,0.571,0.553,0.571,0.571,0.553,0.571,0.553,0.571
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.571,0.516,0.571,0.553,0.571,0.553,0.571,0.571,0.553,0.571,0.553,0.571
