,Jan 2003,Feb 2003,Mar 2003,Apr 2003,May 2003,Jun 2003,Jul 2003,Aug 2003,Sep 2003,Oct 2003,Nov 2003,Dec 2003
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,3.6,3.043,3.704,2.432,3.907,3.67,3.689,3.737,3.36,3.341,3.508,4.761
Geothermal,0.289,0.261,0.289,0.279,0.289,0.279,0.289,0.289,0.279,0.289,0.279,0.289
Solar,0.012,0.013,0.018,0.019,0.022,0.022,0.023,0.023,0.021,0.019,0.015,0.015
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,113.792,104.245,112.633,111.776,112.284,110.785,119.299,116.178,111.622,115.275,113.224,122.2
Waste,12.733,11.553,12.394,12.188,11.42,11.118,11.875,11.864,11.333,12.03,11.666,12.265
Fuel Ethanol,0.319,0.379,0.32,0.361,0.361,0.344,0.352,0.386,0.343,0.39,0.439,0.458
Losses and Coproducts,13.831,11.911,13.662,13.546,13.652,13.687,13.911,14.062,14.304,14.666,14.608,16.16
Total,140.674,128.089,139.01,137.871,137.717,135.935,145.438,142.49,137.602,142.361,139.937,151.084
Total,144.575,131.405,143.02,140.603,141.935,139.906,149.438,146.538,141.261,146.01,143.74,156.148
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,16.332,19.43,16.383,18.505,18.502,17.634,18.024,19.769,17.573,19.976,22.495,23.464
Biodiesel,0.182,0.103,0.131,0.108,0.113,0.115,0.122,0.162,0.192,0.124,0.254,0.118
Total,16.514,19.533,16.514,18.613,18.614,17.749,18.145,19.931,17.765,20.1,22.749,23.582
