,Jan 2002,Feb 2002,Mar 2002,Apr 2002,May 2002,Jun 2002,Jul 2002,Aug 2002,Sep 2002,Oct 2002,Nov 2002,Dec 2002
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,3.01,2.836,2.808,3.221,2.917,2.589,2.78,2.817,2.512,3.485,4.549,5.384
Geothermal,0.407,0.367,0.407,0.393,0.407,0.393,0.407,0.407,0.393,0.407,0.393,0.407
Solar,0.01,0.011,0.015,0.017,0.019,0.019,0.02,0.019,0.018,0.016,0.013,0.013
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,118.659,104.031,108.38,110.12,118.53,110.709,125.42,112.156,120.524,129.523,116.471,121.91
Waste,12.782,11.306,12.991,11.791,11.821,11.54,11.897,12.003,11.548,12.364,12.968,13.332
Fuel Ethanol,0.238,0.224,0.195,0.232,0.247,0.224,0.261,0.259,0.26,0.313,0.356,0.336
Losses and Coproducts,10.692,8.752,10.128,9.668,10.227,9.456,10.133,10.727,11.082,12.606,12.672,13.912
Total,142.371,124.314,131.693,131.811,140.825,131.93,147.711,135.146,143.414,154.805,142.467,149.49
Total,145.798,127.528,134.923,135.442,144.167,134.931,150.918,138.39,146.337,158.714,147.423,155.293
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,12.657,11.941,10.366,12.359,13.16,11.958,13.924,13.829,13.859,16.657,18.983,17.896
Biodiesel,0.168,0.235,0.321,0.137,0.168,0.177,0.207,0.127,0.127,0.135,0.144,0.141
Total,12.825,12.176,10.686,12.496,13.328,12.135,14.131,13.956,13.987,16.792,19.127,18.038
