,Jan 2019
Industrial Sector,0.0
Hydroelectric Power,0.875
Geothermal,0.357
Solar,1.593
Wind,0.083
Biomass,0.0
Wood,130.528
Waste,14.865
Fuel Ethanol,1.436
Losses and Coproducts,67.173
Total,214.001
Total,216.909
Transportation Sector,0.0
Biomass,0.0
Fuel Ethanol,90.033
Biodiesel,15.92
Total,107.694
