,Jan 1990,Feb 1990,Mar 1990,Apr 1990,May 1990,Jun 1990,Jul 1990,Aug 1990,Sep 1990,Oct 1990,Nov 1990,Dec 1990
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,2.573,2.667,3.061,2.806,2.965,3.049,2.617,2.34,1.902,2.064,2.226,2.677
Geothermal,0.161,0.146,0.161,0.156,0.161,0.156,0.161,0.161,0.156,0.161,0.156,0.161
Solar,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,127.112,125.588,132.626,125.688,103.273,76.215,112.067,134.31,131.01,124.427,114.462,135.132
Waste,16.208,14.711,16.431,15.78,16.211,15.959,16.178,16.352,15.996,16.486,15.803,16.208
Fuel Ethanol,0.07,0.063,0.07,0.068,0.07,0.068,0.07,0.07,0.068,0.07,0.068,0.07
Losses and Coproducts,4.172,3.769,4.172,4.038,4.172,4.038,4.172,4.172,4.038,4.172,4.038,4.172
Total,147.562,144.131,153.3,145.574,123.727,96.28,132.487,154.905,151.112,145.155,134.371,155.582
Total,150.299,146.946,156.526,148.539,126.858,99.489,135.269,157.41,153.174,147.384,136.756,158.423
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,5.132,4.635,5.132,4.966,5.132,4.966,5.132,5.132,4.966,5.132,4.966,5.132
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,5.132,4.635,5.132,4.966,5.132,4.966,5.132,5.132,4.966,5.132,4.966,5.132
