,Jan 1993,Feb 1993,Mar 1993,Apr 1993,May 1993,Jun 1993,Jul 1993,Aug 1993,Sep 1993,Oct 1993,Nov 1993,Dec 1993
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,2.748,2.218,2.593,2.813,3.239,2.943,2.609,2.214,1.925,1.92,2.001,2.37
Geothermal,0.204,0.184,0.204,0.197,0.204,0.197,0.204,0.204,0.197,0.204,0.197,0.204
Solar,0.003,0.003,0.004,0.005,0.005,0.005,0.006,0.006,0.005,0.005,0.004,0.004
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,144.648,129.31,135.397,113.78,81.041,84.069,96.992,146.712,132.406,135.896,143.12,140.975
Waste,16.173,14.004,16.076,14.466,15.358,15.045,15.259,14.626,14.95,15.277,14.655,15.268
Fuel Ethanol,0.094,0.094,0.107,0.09,0.089,0.093,0.095,0.075,0.1,0.104,0.126,0.123
Losses and Coproducts,6.426,5.502,6.482,6.21,6.318,6.116,6.065,5.284,5.774,6.321,6.539,6.98
Total,167.341,148.91,158.063,134.546,102.806,105.323,118.411,166.697,153.229,157.598,164.439,163.346
Total,170.295,151.315,160.864,137.561,106.254,108.469,121.229,169.12,155.357,159.726,166.642,165.924
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,7.396,7.368,8.445,7.119,7.03,7.286,7.509,5.902,7.854,8.175,9.921,9.655
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,7.396,7.368,8.445,7.119,7.03,7.286,7.509,5.902,7.854,8.175,9.921,9.655
