,Jan 2004,Feb 2004,Mar 2004,Apr 2004,May 2004,Jun 2004,Jul 2004,Aug 2004,Sep 2004,Oct 2004,Nov 2004,Dec 2004
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,3.283,2.791,2.735,2.057,1.96,1.902,2.01,2.242,3.143,2.915,3.483,4.016
Geothermal,0.322,0.301,0.322,0.311,0.322,0.311,0.322,0.322,0.311,0.322,0.311,0.322
Solar,0.015,0.016,0.022,0.024,0.026,0.027,0.028,0.028,0.025,0.023,0.019,0.018
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,128.754,117.029,121.099,124.813,117.007,120.129,126.944,124.177,118.135,125.56,120.565,131.524
Waste,11.258,10.862,11.288,10.944,11.286,10.831,11.069,11.089,10.567,10.96,10.722,11.053
Fuel Ethanol,0.506,0.496,0.496,0.509,0.523,0.552,0.505,0.518,0.521,0.547,0.536,0.574
Losses and Coproducts,16.247,15.265,16.487,16.182,17.005,16.487,16.738,17.303,16.78,17.377,17.226,17.928
Total,156.764,143.651,149.371,152.448,145.821,147.999,155.256,153.088,146.002,154.445,149.048,161.079
Total,160.384,146.759,152.449,154.84,148.129,150.239,157.616,155.679,149.482,157.705,152.862,165.435
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,23.045,22.588,22.619,23.191,23.827,25.171,23.032,23.624,23.729,24.927,24.399,26.139
Biodiesel,0.331,0.34,0.283,0.321,0.252,0.239,0.261,0.238,0.28,0.306,0.283,0.291
Total,23.377,22.928,22.902,23.512,24.079,25.41,23.293,23.862,24.009,25.233,24.682,26.43
