,Jan 1987,Feb 1987,Mar 1987,Apr 1987,May 1987,Jun 1987,Jul 1987,Aug 1987,Sep 1987,Oct 1987,Nov 1987,Dec 1987
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,3.039,2.568,2.923,3.092,3.467,3.322,2.933,2.459,2.221,2.146,2.308,2.458
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,133.852,120.899,133.852,129.534,133.852,129.534,133.852,133.852,129.534,133.852,129.534,133.852
Waste,23.931,21.615,23.931,23.159,23.931,23.159,23.931,23.931,23.159,23.931,23.159,23.931
Fuel Ethanol,0.085,0.077,0.085,0.083,0.085,0.083,0.085,0.085,0.083,0.085,0.083,0.085
Losses and Coproducts,4.68,4.227,4.68,4.529,4.68,4.529,4.68,4.68,4.529,4.68,4.529,4.68
Total,162.549,146.818,162.549,157.305,162.549,157.305,162.549,162.549,157.305,162.549,157.305,162.549
Total,165.587,149.386,165.471,160.398,166.016,160.627,165.482,165.008,159.526,164.695,159.614,165.007
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,5.612,5.068,5.612,5.431,5.612,5.431,5.612,5.612,5.431,5.612,5.431,5.612
Biodiesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,5.612,5.068,5.612,5.431,5.612,5.431,5.612,5.612,5.431,5.612,5.431,5.612
