,Jan 1992,Feb 1992,Mar 1992,Apr 1992,May 1992,Jun 1992,Jul 1992,Aug 1992,Sep 1992,Oct 1992,Nov 1992,Dec 1992
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.783,0.844,1.163,1.282,1.415,1.428,1.499,1.483,1.353,1.233,1.011,0.96
Commercial,1.177,1.268,1.748,1.926,2.126,2.145,2.252,2.229,2.033,1.853,1.52,1.443
Industrial,0.261,0.281,0.387,0.427,0.471,0.475,0.499,0.494,0.45,0.41,0.337,0.319
Total,2.22,2.393,3.297,3.634,4.012,4.048,4.25,4.206,3.836,3.496,2.868,2.722
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,8.702,11.098,14.124,29.257,46.913,45.904,62.172,60.406,46.03,37.581,28.375,9.08
Total,8.702,11.098,14.124,29.257,46.913,45.904,62.172,60.406,46.03,37.581,28.375,9.08
Total,10.922,13.491,17.422,32.892,50.925,49.952,66.422,64.612,49.866,41.076,31.242,11.802
