,Jan 1995,Feb 1995,Mar 1995,Apr 1995,May 1995,Jun 1995,Jul 1995,Aug 1995,Sep 1995,Oct 1995,Nov 1995,Dec 1995
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,1.099,1.185,1.633,1.799,1.986,2.004,2.104,2.082,1.899,1.731,1.42,1.348
Commercial,1.652,1.781,2.454,2.704,2.985,3.012,3.162,3.129,2.854,2.601,2.134,2.025
Industrial,0.366,0.394,0.543,0.599,0.661,0.667,0.7,0.693,0.632,0.576,0.472,0.448
Total,3.117,3.36,4.629,5.102,5.633,5.683,5.966,5.904,5.385,4.908,4.026,3.822
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,5.211,9.024,17.666,51.22,67.997,81.342,72.572,70.284,52.237,35.968,25.165,8.134
Total,5.211,9.024,17.666,51.22,67.997,81.342,72.572,70.284,52.237,35.968,25.165,8.134
Total,8.328,12.384,22.296,56.322,73.629,87.025,78.539,76.189,57.622,40.876,29.191,11.956
