,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,519.925,621.843,834.555,950.974,1057.629,1098.991,1146.409,1112.818,989.115,884.38,725.718,652.532
Commercial,346.482,398.353,519.53,565.76,615.622,622.688,640.219,619.59,556.393,493.381,392.604,387.106
Industrial,113.199,124.377,171.055,186.203,205.74,206.087,213.657,209.234,189.871,174.303,138.522,127.507
Total,979.605,1144.573,1525.14,1702.937,1878.991,1927.767,2000.284,1941.642,1735.378,1552.064,1256.844,1167.145
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,26.213,39.002,44.488,46.117,47.628,52.901,55.329,57.864,48.471,42.425,35.787,33.107
Industrial,1.407,2.016,2.193,2.451,2.552,2.871,2.987,2.917,2.419,2.195,1.951,1.449
Electric Power,1458.182,2200.546,2570.772,2831.115,3375.003,3417.726,3886.477,3908.405,3584.179,3146.603,2729.406,2388.967
Total,1485.802,2241.563,2617.452,2879.682,3425.183,3473.498,3944.793,3969.186,3635.069,3191.224,2767.144,2423.523
Total,2465.407,3386.136,4142.592,4582.619,5304.175,5401.265,5945.077,5910.828,5370.448,4743.288,4023.989,3590.669
