,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,174.279,187.864,258.845,285.284,314.942,317.779,333.598,330.133,301.103,274.425,225.106,213.676
Commercial,217.971,234.961,323.738,356.805,393.898,397.447,417.231,412.897,376.59,343.223,281.54,267.244
Industrial,48.267,52.029,71.688,79.01,87.224,88.01,92.391,91.431,83.391,76.003,62.344,59.178
Total,440.517,474.854,654.271,721.1,796.065,803.236,843.219,834.461,761.085,693.65,568.99,540.098
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,9.193,14.863,21.748,25.155,27.377,29.635,27.786,28.859,30.139,31.516,24.458,23.157
Industrial,0.767,0.908,1.364,1.715,1.662,1.801,1.672,1.694,1.757,1.54,1.264,1.111
Electric Power,299.864,416.872,596.287,639.869,723.667,839.25,799.39,913.539,916.882,954.478,798.631,825.754
Total,309.824,432.643,619.399,666.739,752.707,870.685,828.847,944.092,948.779,987.533,824.352,850.021
Total,750.341,907.497,1273.67,1387.839,1548.772,1673.921,1672.067,1778.553,1709.863,1681.184,1393.343,1390.119
