,Jan 2003,Feb 2003,Mar 2003,Apr 2003,May 2003,Jun 2003,Jul 2003,Aug 2003,Sep 2003,Oct 2003,Nov 2003,Dec 2003
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,3.533,3.808,5.247,5.783,6.384,6.441,6.762,6.692,6.103,5.562,4.563,4.331
Commercial,5.309,5.722,7.885,8.69,9.593,9.68,10.162,10.056,9.172,8.359,6.857,6.509
Industrial,1.176,1.267,1.746,1.924,2.124,2.143,2.25,2.227,2.031,1.851,1.518,1.441
Total,10.017,10.798,14.877,16.397,18.101,18.264,19.174,18.975,17.306,15.773,12.938,12.281
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,13.217,17.83,50.027,60.309,67.962,90.682,62.407,61.992,55.857,35.436,14.031,4.251
Total,13.217,17.83,50.027,60.309,67.962,90.682,62.407,61.992,55.857,35.436,14.031,4.251
Total,23.234,28.628,64.904,76.706,86.063,108.946,81.581,80.967,73.163,51.209,26.969,16.532
