,Jan 2019,Feb 2019
Distributed Solar Generation,0.0,0.0
Residential,1122.431,1219.163
Commercial,647.068,688.068
Industrial,168.098,178.175
Total,1937.598,2085.407
Utility-Scale Solar Generation,0.0,0.0
Commercial,30.67,33.234
Industrial,4.81,5.307
Electric Power,3616.492,3874.592
Total,3651.972,3913.133
Total,5589.57,5998.54
