,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,48.732,52.531,72.378,79.771,88.064,88.858,93.281,92.312,84.195,76.735,62.944,59.748
Commercial,67.022,72.246,99.543,109.711,121.116,122.207,128.29,126.958,115.794,105.534,86.568,82.172
Industrial,14.841,15.998,22.043,24.294,26.82,27.061,28.408,28.113,25.641,23.369,19.17,18.196
Total,130.595,140.775,193.964,213.776,236.0,238.126,249.98,247.383,225.63,205.639,168.682,160.117
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.004,0.014,0.032,0.047,0.064,0.712,0.684,0.615,0.502,0.37,0.332,1.396
Industrial,0.024,0.044,0.109,0.14,0.198,0.234,0.181,0.228,0.212,0.129,0.123,0.176
Electric Power,9.838,32.766,75.858,112.093,152.91,175.107,160.517,155.55,136.867,74.937,76.341,42.83
Total,9.866,32.824,75.999,112.279,153.172,176.053,161.382,156.393,137.581,75.436,76.795,44.401
Total,140.461,173.599,269.963,326.056,389.172,414.179,411.361,403.776,363.211,281.075,245.478,204.518
