,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,29.203,31.479,43.373,47.804,52.773,53.249,55.899,55.319,50.454,45.984,37.72,35.805
Commercial,43.886,47.307,65.182,71.839,79.308,80.022,84.005,83.133,75.823,69.105,56.686,53.807
Industrial,9.718,10.476,14.434,15.908,17.562,17.72,18.602,18.409,16.79,15.302,12.552,11.915
Total,82.808,89.262,122.989,135.551,149.643,150.991,158.507,156.86,143.067,130.391,106.958,101.527
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.001,0.004,0.005,0.005,0.005,0.006,0.006,0.004,0.003,0.002,0.001
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,7.19,30.442,78.103,99.411,110.419,103.407,121.182,116.285,94.99,68.098,40.401,21.208
Total,7.19,30.444,78.107,99.416,110.425,103.413,121.188,116.291,94.994,68.101,40.402,21.209
Total,89.998,119.706,201.096,234.967,260.067,254.403,279.695,273.151,238.061,198.492,147.36,122.736
