,Jan 1993,Feb 1993,Mar 1993,Apr 1993,May 1993,Jun 1993,Jul 1993,Aug 1993,Sep 1993,Oct 1993,Nov 1993,Dec 1993
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.859,0.925,1.275,1.405,1.551,1.565,1.643,1.626,1.483,1.352,1.109,1.053
Commercial,1.29,1.391,1.916,2.112,2.332,2.353,2.47,2.444,2.229,2.032,1.666,1.582
Industrial,0.286,0.308,0.424,0.468,0.516,0.521,0.547,0.541,0.494,0.45,0.369,0.35
Total,2.434,2.624,3.616,3.985,4.399,4.439,4.66,4.611,4.206,3.833,3.144,2.985
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,9.366,17.759,34.544,54.127,49.505,35.395,62.398,68.237,56.56,33.936,26.759,13.866
Total,9.366,17.759,34.544,54.127,49.505,35.395,62.398,68.237,56.56,33.936,26.759,13.866
Total,11.8,20.383,38.16,58.112,53.904,39.834,67.058,72.848,60.766,37.769,29.904,16.851
