,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,111.499,120.19,165.603,182.518,201.492,203.307,213.427,211.211,192.638,175.57,144.017,136.704
Commercial,181.527,195.677,269.61,297.149,328.04,330.995,347.472,343.863,313.626,285.838,234.468,222.562
Industrial,40.197,43.33,59.702,65.8,72.641,73.295,76.944,76.144,69.449,63.295,51.92,49.284
Total,333.223,359.197,494.915,545.467,602.173,607.598,637.842,631.218,575.713,524.703,430.405,408.55
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,3.518,5.375,8.905,12.565,16.204,17.68,16.182,14.805,17.571,15.162,11.111,9.373
Industrial,0.626,0.763,0.983,1.251,1.237,1.394,1.776,1.64,1.546,1.251,1.011,0.709
Electric Power,91.177,129.102,221.34,304.907,445.155,507.994,491.553,444.966,438.986,415.015,335.154,338.691
Total,95.32,135.24,231.228,318.723,462.597,527.068,509.51,461.411,458.103,431.427,347.276,348.772
Total,428.543,494.438,726.143,864.19,1064.77,1134.665,1147.353,1092.628,1033.815,956.13,777.681,757.322
