,Jan 1989,Feb 1989,Mar 1989,Apr 1989,May 1989,Jun 1989,Jul 1989,Aug 1989,Sep 1989,Oct 1989,Nov 1989,Dec 1989
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.56,0.604,0.832,0.917,1.012,1.022,1.072,1.061,0.968,0.882,0.724,0.687
Commercial,0.842,0.908,1.251,1.378,1.522,1.535,1.612,1.595,1.455,1.326,1.088,1.032
Industrial,0.186,0.201,0.277,0.305,0.337,0.34,0.357,0.353,0.322,0.294,0.241,0.229
Total,1.589,1.713,2.36,2.601,2.871,2.897,3.041,3.009,2.745,2.502,2.052,1.948
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,6.957,7.414,19.086,23.655,15.56,21.626,35.589,26.226,31.453,28.156,24.616,10.263
Total,6.957,7.414,19.086,23.655,15.56,21.626,35.589,26.226,31.453,28.156,24.616,10.263
Total,8.546,9.126,21.445,26.255,18.431,24.523,38.63,29.236,34.198,30.657,26.668,12.211
