,Jan 1987,Feb 1987,Mar 1987,Apr 1987,May 1987,Jun 1987,Jul 1987,Aug 1987,Sep 1987,Oct 1987,Nov 1987,Dec 1987
Distributed Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utility-Scale Solar Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Power,0.062,0.532,0.902,1.278,1.251,1.665,1.785,1.19,0.774,0.576,0.322,0.159
Total,0.062,0.532,0.902,1.278,1.251,1.665,1.785,1.19,0.774,0.576,0.322,0.159
Total,0.062,0.532,0.902,1.278,1.251,1.665,1.785,1.19,0.774,0.576,0.322,0.159
